510 > predicted='nucleus', actual='nucleus'
422 > predicted='cytoskeleton', actual='cytoskeleton'
718 > predicted='ER', actual='peroxisome'
233 > predicted='ER', actual='ER'
263 > predicted='cytoplasm', actual='cytoplasm'
767 > predicted='nucleus', actual='nucleus'
133 > predicted='cytoplasm', actual='cytoplasm'
170 > predicted='plasma membrane', actual='plasma membrane'
250 > predicted='cytoplasm', actual='cytoplasm'
331 > predicted='nucleus', actual='nucleus'
366 > predicted='cytoplasm', actual='cytoplasm'
54 > predicted='nucleus', actual='nucleus'
370 > predicted='mitochondria', actual='mitochondria'
670 > predicted='golgi', actual='golgi'
463 > predicted='nucleus', actual='nucleus'
44 > predicted='plasma membrane', actual='plasma membrane'
61 > predicted='mitochondria', actual='mitochondria'
564 > predicted='cytoplasm', actual='cytoplasm'
714 > predicted='vacuole', actual='vacuole'
766 > predicted='nucleus', actual='nucleus'
345 > predicted='golgi', actual='golgi'
417 > predicted='cytoskeleton', actual='cytoskeleton'
165 > predicted='plasma membrane', actual='plasma membrane'
152 > predicted='golgi', actual='golgi'
60 > predicted='mitochondria', actual='mitochondria'
131 > predicted='plasma membrane', actual='plasma membrane'
271 > predicted='nucleus', actual='nucleus'
397 > predicted='nucleus', actual='nucleus'
181 > predicted='plasma membrane', actual='plasma membrane'
44 > predicted='plasma membrane', actual='plasma membrane'
463 > predicted='nucleus', actual='nucleus'
82 > predicted='cytoskeleton', actual='cytoskeleton'
556 > predicted='mitochondria', actual='mitochondria'
307 > predicted='nucleus', actual='nucleus'
593 > predicted='mitochondria', actual='mitochondria'
44 > predicted='plasma membrane', actual='plasma membrane'
800 > predicted='cytoplasm', actual='cytoplasm'
149 > predicted='cytoplasm', actual='cytoplasm'
279 > predicted='nucleus', actual='nucleus'
473 > predicted='endosome', actual='endosome'
730 > predicted='plasma membrane', actual='plasma membrane'
171 > predicted='mitochondria', actual='mitochondria'
283 > predicted='cytoskeleton', actual='cytoskeleton'
239 > predicted='nucleus', actual='nucleus'
532 > predicted='vacuole', actual='vacuole'
171 > predicted='mitochondria', actual='mitochondria'
539 > predicted='nucleus', actual='nucleus'
514 > predicted='cytoskeleton', actual='cytoskeleton'
394 > predicted='cytoplasm', actual='cytoplasm'
467 > predicted='mitochondria', actual='mitochondria'
14 > predicted='cytoplasm', actual='cytoplasm'
197 > predicted='nucleus', actual='nucleus'
535 > predicted='cytoplasm', actual='cytoplasm'
397 > predicted='nucleus', actual='nucleus'
319 > predicted='cytoskeleton', actual='cytoskeleton'
640 > predicted='cytoskeleton', actual='cytoskeleton'
629 > predicted='nucleus', actual='nucleus'
171 > predicted='mitochondria', actual='mitochondria'
565 > predicted='nucleus', actual='nucleus'
222 > predicted='nucleus', actual='nucleus'
550 > predicted='nucleus', actual='nucleus'
558 > predicted='nucleus', actual='nucleus'
146 > predicted='nucleus', actual='nucleus'
23 > predicted='vacuole', actual='vacuole'
276 > predicted='cytoskeleton', actual='cytoskeleton'
600 > predicted='cytoskeleton', actual='cytoskeleton'
394 > predicted='cytoplasm', actual='cytoplasm'
101 > predicted='nucleus', actual='nucleus'
785 > predicted='nucleus', actual='nucleus'
404 > predicted='nucleus', actual='nucleus'
49 > predicted='nucleus', actual='nucleus'
553 > predicted='nucleus', actual='nucleus'
670 > predicted='golgi', actual='golgi'
239 > predicted='nucleus', actual='nucleus'
553 > predicted='nucleus', actual='nucleus'
44 > predicted='plasma membrane', actual='plasma membrane'
667 > predicted='cytoplasm', actual='endosome'
43 > predicted='vacuole', actual='vacuole'
491 > predicted='transport vesicles', actual='transport vesicles'
20 > predicted='cytoplasm', actual='cytoplasm'
335 > predicted='nucleus', actual='nucleus'
537 > predicted='cytoplasm', actual='cytoplasm'
21 > predicted='nucleus', actual='nucleus'
177 > predicted='cytoplasm', actual='cytoplasm'
426 > predicted='cytoplasm', actual='cytoplasm'
554 > predicted='transport vesicles', actual='transport vesicles'
149 > predicted='cytoplasm', actual='cytoplasm'
856 > predicted='cytoplasm', actual='cytoplasm'
12 > predicted='mitochondria', actual='mitochondria'
43 > predicted='vacuole', actual='vacuole'
426 > predicted='cytoplasm', actual='cytoplasm'
258 > predicted='cytoskeleton', actual='cytoskeleton'
601 > predicted='transport vesicles', actual='transport vesicles'
44 > predicted='plasma membrane', actual='plasma membrane'
443 > predicted='mitochondria', actual='mitochondria'
550 > predicted='nucleus', actual='nucleus'
28 > predicted='plasma membrane', actual='plasma membrane'
170 > predicted='plasma membrane', actual='plasma membrane'
14 > predicted='cytoplasm', actual='cytoplasm'
289 > predicted='mitochondria', actual='mitochondria'
20 > predicted='cytoplasm', actual='cytoplasm'
171 > predicted='mitochondria', actual='mitochondria'
373 > predicted='mitochondria', actual='mitochondria'
313 > predicted='nucleus', actual='nucleus'
738 > predicted='nucleus', actual='nucleus'
515 > predicted='nucleus', actual='nucleus'
152 > predicted='golgi', actual='golgi'
802 > predicted='cytoplasm', actual='cytoplasm'
802 > predicted='cytoplasm', actual='cytoplasm'
89 > predicted='nucleus', actual='nucleus'
235 > predicted='nucleus', actual='nucleus'
546 > predicted='cytoskeleton', actual='cytoskeleton'
240 > predicted='cytoplasm', actual='cytoplasm'
480 > predicted='nucleus', actual='nucleus'
842 > predicted='nucleus', actual='nucleus'
565 > predicted='nucleus', actual='nucleus'
426 > predicted='cytoplasm', actual='cytoplasm'
420 > predicted='nucleus', actual='nucleus'
731 > predicted='mitochondria', actual='mitochondria'
533 > predicted='nucleus', actual='nucleus'
766 > predicted='nucleus', actual='nucleus'
364 > predicted='nucleus', actual='nucleus'
21 > predicted='nucleus', actual='nucleus'
617 > predicted='nucleus', actual='nucleus'
842 > predicted='nucleus', actual='nucleus'
283 > predicted='cytoskeleton', actual='cytoskeleton'
98 > predicted='nucleus', actual='nucleus'
279 > predicted='nucleus', actual='nucleus'
578 > predicted='cytoplasm', actual='cytoplasm'
196 > predicted='plasma membrane', actual='plasma membrane'
77 > predicted='cytoplasm', actual='cytoplasm'
44 > predicted='plasma membrane', actual='plasma membrane'
173 > predicted='cytoplasm', actual='cytoplasm'
174 > predicted='vacuole', actual='vacuole'
634 > predicted='mitochondria', actual='mitochondria'
683 > predicted='plasma membrane', actual='plasma membrane'
550 > predicted='nucleus', actual='nucleus'
822 > predicted='plasma membrane', actual='plasma membrane'
194 > predicted='ER', actual='ER'
833 > predicted='mitochondria', actual='mitochondria'
420 > predicted='nucleus', actual='nucleus'
854 > predicted='nucleus', actual='nucleus'
17 > predicted='cytoplasm', actual='cytoplasm'
254 > predicted='mitochondria', actual='mitochondria'
195 > predicted='golgi', actual='golgi'
436 > predicted='nucleus', actual='nucleus'
258 > predicted='cytoskeleton', actual='cytoskeleton'
208 > predicted='nucleus', actual='nucleus'
279 > predicted='nucleus', actual='nucleus'
212 > predicted='plasma membrane', actual='plasma membrane'
111 > predicted='plasma membrane', actual='plasma membrane'
426 > predicted='cytoplasm', actual='cytoplasm'
696 > predicted='mitochondria', actual='mitochondria'
455 > predicted='nucleus', actual='nucleus'
77 > predicted='cytoplasm', actual='cytoplasm'
254 > predicted='mitochondria', actual='mitochondria'
213 > predicted='nucleus', actual='nucleus'
851 > predicted='vacuole', actual='vacuole'
841 > predicted='cytoplasm', actual='cytoplasm'
353 > predicted='cytoplasm', actual='cytoplasm'
602 > predicted='cytoplasm', actual='cytoplasm'
557 > predicted='nucleus', actual='nucleus'
287 > predicted='golgi', actual='golgi'
557 > predicted='nucleus', actual='nucleus'
191 > predicted='cytoskeleton', actual='cytoskeleton'
687 > predicted='cytoskeleton', actual='cytoskeleton'
725 > predicted='peroxisome', actual='peroxisome'
506 > predicted='nucleus', actual='nucleus'
801 > predicted='cytoplasm', actual='cytoplasm'
128 > predicted='nucleus', actual='nucleus'
292 > predicted='ER', actual='ER'
113 > predicted='plasma membrane', actual='plasma membrane'
640 > predicted='cytoskeleton', actual='cytoskeleton'
294 > predicted='nucleus', actual='nucleus'
156 > predicted='nucleus', actual='nucleus'
463 > predicted='nucleus', actual='nucleus'
670 > predicted='golgi', actual='golgi'
553 > predicted='nucleus', actual='nucleus'
336 > predicted='nucleus', actual='nucleus'
372 > predicted='nucleus', actual='nucleus'
11 > predicted='nucleus', actual='nucleus'
76 > predicted='nucleus', actual='nucleus'
467 > predicted='mitochondria', actual='mitochondria'
170 > predicted='plasma membrane', actual='plasma membrane'
407 > predicted='golgi', actual='golgi'
154 > predicted='nucleus', actual='nucleus'
473 > predicted='endosome', actual='endosome'
239 > predicted='nucleus', actual='nucleus'
417 > predicted='cytoskeleton', actual='cytoskeleton'
136 > predicted='golgi', actual='golgi'
336 > predicted='nucleus', actual='nucleus'
127 > predicted='cytoplasm', actual='cytoplasm'
687 > predicted='cytoskeleton', actual='cytoskeleton'
326 > predicted='nucleus', actual='nucleus'
23 > predicted='vacuole', actual='vacuole'
382 > predicted='cytoplasm', actual='cytoplasm'
578 > predicted='cytoplasm', actual='cytoplasm'
450 > predicted='nucleus', actual='nucleus'
133 > predicted='cytoplasm', actual='cytoplasm'
230 > predicted='cytoplasm', actual='cytoplasm'
322 > predicted='mitochondria', actual='mitochondria'
165 > predicted='plasma membrane', actual='plasma membrane'
395 > predicted='mitochondria', actual='mitochondria'
276 > predicted='cytoskeleton', actual='cytoskeleton'
487 > predicted='nucleus', actual='nucleus'
129 > predicted='cytoplasm', actual='cytoplasm'
174 > predicted='vacuole', actual='vacuole'
290 > predicted='nucleus', actual='nucleus'
21 > predicted='nucleus', actual='nucleus'
832 > predicted='nucleus', actual='nucleus'
379 > predicted='nucleus', actual='nucleus'
713 > predicted='mitochondria', actual='mitochondria'
818 > predicted='golgi', actual='golgi'
417 > predicted='cytoskeleton', actual='cytoskeleton'
61 > predicted='mitochondria', actual='mitochondria'
1 > predicted='cytoplasm', actual='cytoplasm'
779 > predicted='ER', actual='ER'
220 > predicted='nucleus', actual='nucleus'
313 > predicted='nucleus', actual='nucleus'
495 > predicted='peroxisome', actual='peroxisome'
738 > predicted='nucleus', actual='nucleus'
748 > predicted='cytoskeleton', actual='cytoskeleton'
216 > predicted='plasma membrane', actual='plasma membrane'
292 > predicted='ER', actual='ER'
109 > predicted='ER', actual='ER'
357 > predicted='cytoplasm', actual='cytoplasm'
674 > predicted='ER', actual='ER'
493 > predicted='cytoplasm', actual='cytoplasm'
58 > predicted='nucleus', actual='nucleus'
679 > predicted='cytoskeleton', actual='cytoskeleton'
557 > predicted='nucleus', actual='nucleus'
28 > predicted='plasma membrane', actual='plasma membrane'
51 > predicted='nucleus', actual='nucleus'
663 > predicted='nucleus', actual='nucleus'
433 > predicted='nucleus', actual='nucleus'
498 > predicted='nucleus', actual='nucleus'
426 > predicted='cytoplasm', actual='cytoplasm'
292 > predicted='ER', actual='ER'
39 > predicted='nucleus', actual='nucleus'
252 > predicted='cytoplasm', actual='cytoplasm'
170 > predicted='plasma membrane', actual='plasma membrane'
129 > predicted='cytoplasm', actual='cytoplasm'
34 > predicted='nucleus', actual='nucleus'
14 > predicted='cytoplasm', actual='cytoplasm'
201 > predicted='plasma membrane', actual='plasma membrane'
558 > predicted='nucleus', actual='nucleus'
149 > predicted='cytoplasm', actual='cytoplasm'
86 > predicted='nucleus', actual='nucleus'
67 > predicted='nucleus', actual='nucleus'
640 > predicted='cytoskeleton', actual='cytoskeleton'
821 > predicted='cytoplasm', actual='cytoplasm'
348 > predicted='ER', actual='ER'
235 > predicted='nucleus', actual='nucleus'
529 > predicted='mitochondria', actual='mitochondria'
49 > predicted='nucleus', actual='nucleus'
512 > predicted='cytoplasm', actual='cytoplasm'
731 > predicted='mitochondria', actual='mitochondria'
323 > predicted='cytoplasm', actual='cytoplasm'
752 > predicted='ER', actual='ER'
591 > predicted='transport vesicles', actual='transport vesicles'
129 > predicted='cytoplasm', actual='cytoplasm'
4 > predicted='cytoplasm', actual='cytoplasm'
810 > predicted='nucleus', actual='nucleus'
28 > predicted='plasma membrane', actual='plasma membrane'
486 > predicted='nucleus', actual='nucleus'
620 > predicted='cytoskeleton', actual='cytoskeleton'
724 > predicted='cytoplasm', actual='cytoplasm'
763 > predicted='nucleus', actual='nucleus'
43 > predicted='vacuole', actual='vacuole'
734 > predicted='nucleus', actual='nucleus'
9 > predicted='nucleus', actual='nucleus'
307 > predicted='nucleus', actual='nucleus'
258 > predicted='cytoskeleton', actual='cytoskeleton'
577 > predicted='nucleus', actual='nucleus'
292 > predicted='ER', actual='ER'
367 > predicted='cytoskeleton', actual='cytoskeleton'
373 > predicted='mitochondria', actual='mitochondria'
82 > predicted='cytoskeleton', actual='cytoskeleton'
58 > predicted='nucleus', actual='nucleus'
227 > predicted='plasma membrane', actual='plasma membrane'
557 > predicted='nucleus', actual='nucleus'
572 > predicted='vacuole', actual='vacuole'
20 > predicted='cytoplasm', actual='cytoplasm'
740 > predicted='nucleus', actual='nucleus'
121 > predicted='nucleus', actual='nucleus'
764 > predicted='mitochondria', actual='mitochondria'
193 > predicted='nucleus', actual='nucleus'
178 > predicted='cytoplasm', actual='cytoplasm'
83 > predicted='golgi', actual='golgi'
144 > predicted='vacuole', actual='vacuole'
394 > predicted='cytoplasm', actual='cytoplasm'
579 > predicted='cytoskeleton', actual='cytoskeleton'
153 > predicted='nucleus', actual='nucleus'
768 > predicted='nucleus', actual='nucleus'
413 > predicted='ER', actual='ER'
62 > predicted='plasma membrane', actual='plasma membrane'
399 > predicted='nucleus', actual='nucleus'
31 > predicted='nucleus', actual='nucleus'
452 > predicted='nucleus', actual='nucleus'
35 > predicted='cytoskeleton', actual='cytoskeleton'
342 > predicted='nucleus', actual='nucleus'
79 > predicted='cytoplasm', actual='cytoplasm'
157 > predicted='cytoplasm', actual='cytoplasm'
29 > predicted='nucleus', actual='nucleus'
463 > predicted='nucleus', actual='nucleus'
760 > predicted='nucleus', actual='nucleus'
821 > predicted='cytoplasm', actual='cytoplasm'
44 > predicted='plasma membrane', actual='plasma membrane'
801 > predicted='cytoplasm', actual='cytoplasm'
535 > predicted='cytoplasm', actual='cytoplasm'
123 > predicted='plasma membrane', actual='plasma membrane'
717 > predicted='mitochondria', actual='mitochondria'
61 > predicted='mitochondria', actual='mitochondria'
203 > predicted='golgi', actual='golgi'
123 > predicted='plasma membrane', actual='plasma membrane'
129 > predicted='cytoplasm', actual='cytoplasm'
367 > predicted='cytoskeleton', actual='cytoskeleton'
205 > predicted='nucleus', actual='nucleus'
366 > predicted='cytoplasm', actual='cytoplasm'
28 > predicted='plasma membrane', actual='plasma membrane'
123 > predicted='plasma membrane', actual='plasma membrane'
547 > predicted='cytoskeleton', actual='cytoskeleton'
54 > predicted='nucleus', actual='nucleus'
593 > predicted='mitochondria', actual='mitochondria'
227 > predicted='plasma membrane', actual='plasma membrane'
32 > predicted='nucleus', actual='nucleus'
668 > predicted='plasma membrane', actual='plasma membrane'
155 > predicted='cytoplasm', actual='cytoplasm'
763 > predicted='nucleus', actual='nucleus'
239 > predicted='nucleus', actual='nucleus'
188 > predicted='mitochondria', actual='mitochondria'
450 > predicted='nucleus', actual='nucleus'
426 > predicted='cytoplasm', actual='cytoplasm'
258 > predicted='cytoskeleton', actual='cytoskeleton'
399 > predicted='nucleus', actual='nucleus'
557 > predicted='nucleus', actual='nucleus'
689 > predicted='golgi', actual='golgi'
114 > predicted='nucleus', actual='nucleus'
171 > predicted='mitochondria', actual='mitochondria'
473 > predicted='endosome', actual='endosome'
538 > predicted='nucleus', actual='nucleus'
5 > predicted='nucleus', actual='nucleus'
670 > predicted='golgi', actual='golgi'
546 > predicted='cytoskeleton', actual='cytoskeleton'
246 > predicted='nucleus', actual='nucleus'
757 > predicted='cytoskeleton', actual='cytoskeleton'
320 > predicted='nucleus', actual='nucleus'
299 > predicted='nucleus', actual='nucleus'
89 > predicted='nucleus', actual='nucleus'
415 > predicted='cytoplasm', actual='cytoplasm'
339 > predicted='nucleus', actual='nucleus'
182 > predicted='nucleus', actual='nucleus'
50 > predicted='cytoplasm', actual='cytoplasm'
303 > predicted='cytoplasm', actual='cytoplasm'
58 > predicted='nucleus', actual='nucleus'
165 > predicted='plasma membrane', actual='plasma membrane'
152 > predicted='golgi', actual='golgi'
82 > predicted='cytoskeleton', actual='cytoskeleton'
119 > predicted='plasma membrane', actual='plasma membrane'
789 > predicted='nucleus', actual='nucleus'
362 > predicted='cytoplasm', actual='cytoplasm'
668 > predicted='plasma membrane', actual='plasma membrane'
205 > predicted='nucleus', actual='nucleus'
96 > predicted='nucleus', actual='nucleus'
39 > predicted='nucleus', actual='nucleus'
459 > predicted='nucleus', actual='nucleus'
186 > predicted='cytoplasm', actual='cytoplasm'
157 > predicted='cytoplasm', actual='cytoplasm'
842 > predicted='nucleus', actual='nucleus'
558 > predicted='nucleus', actual='nucleus'
82 > predicted='cytoskeleton', actual='cytoskeleton'
223 > predicted='plasma membrane', actual='plasma membrane'
135 > predicted='nucleus', actual='nucleus'
384 > predicted='cytoplasm', actual='cytoplasm'
463 > predicted='nucleus', actual='nucleus'
852 > predicted='nucleus', actual='nucleus'
375 > predicted='cytoplasm', actual='cytoplasm'
107 > predicted='cytoskeleton', actual='cytoskeleton'
437 > predicted='nucleus', actual='nucleus'
143 > predicted='ER', actual='ER'
14 > predicted='cytoplasm', actual='cytoplasm'
551 > predicted='cytoskeleton', actual='cytoskeleton'
57 > predicted='nucleus', actual='nucleus'
816 > predicted='mitochondria', actual='mitochondria'
14 > predicted='cytoplasm', actual='cytoplasm'
45 > predicted='plasma membrane', actual='plasma membrane'
271 > predicted='nucleus', actual='nucleus'
437 > predicted='nucleus', actual='nucleus'
337 > predicted='nucleus', actual='nucleus'
112 > predicted='plasma membrane', actual='plasma membrane'
579 > predicted='cytoskeleton', actual='cytoskeleton'
554 > predicted='transport vesicles', actual='transport vesicles'
788 > predicted='mitochondria', actual='mitochondria'
249 > predicted='transport vesicles', actual='transport vesicles'
149 > predicted='cytoplasm', actual='cytoplasm'
44 > predicted='plasma membrane', actual='plasma membrane'
653 > predicted='cytoplasm', actual='cytoplasm'
213 > predicted='nucleus', actual='nucleus'
108 > predicted='nucleus', actual='nucleus'
148 > predicted='ER', actual='ER'
121 > predicted='nucleus', actual='nucleus'
446 > predicted='vacuole', actual='vacuole'
218 > predicted='cytoplasm', actual='cytoplasm'
565 > predicted='nucleus', actual='nucleus'
174 > predicted='vacuole', actual='vacuole'
664 > predicted='vacuole', actual='vacuole'
826 > predicted='nucleus', actual='nucleus'
550 > predicted='nucleus', actual='nucleus'
796 > predicted='mitochondria', actual='mitochondria'
163 > predicted='cytoskeleton', actual='cytoskeleton'
550 > predicted='nucleus', actual='nucleus'
595 > predicted='cytoplasm', actual='cytoplasm'
738 > predicted='nucleus', actual='nucleus'
181 > predicted='plasma membrane', actual='plasma membrane'
172 > predicted='nucleus', actual='nucleus'
746 > predicted='cytoplasm', actual='cytoplasm'
162 > predicted='nucleus', actual='nucleus'
426 > predicted='cytoplasm', actual='cytoplasm'
79 > predicted='cytoplasm', actual='cytoplasm'
78 > predicted='cytoplasm', actual='cytoplasm'
853 > predicted='mitochondria', actual='mitochondria'
258 > predicted='cytoskeleton', actual='cytoskeleton'
477 > predicted='ER', actual='ER'
844 > predicted='cytoplasm', actual='peroxisome'
157 > predicted='cytoplasm', actual='cytoplasm'
579 > predicted='cytoskeleton', actual='cytoskeleton'
800 > predicted='cytoplasm', actual='cytoplasm'
623 > predicted='golgi', actual='golgi'
276 > predicted='cytoskeleton', actual='cytoskeleton'
14 > predicted='cytoplasm', actual='cytoplasm'
180 > predicted='nucleus', actual='nucleus'
83 > predicted='golgi', actual='golgi'
300 > predicted='nucleus', actual='nucleus'
856 > predicted='cytoplasm', actual='cytoplasm'
522 > predicted='cytoplasm', actual='cytoplasm'
44 > predicted='plasma membrane', actual='plasma membrane'
731 > predicted='mitochondria', actual='mitochondria'
39 > predicted='nucleus', actual='nucleus'
730 > predicted='plasma membrane', actual='plasma membrane'
334 > predicted='cytoskeleton', actual='cytoskeleton'
282 > predicted='nucleus', actual='nucleus'
203 > predicted='golgi', actual='golgi'
294 > predicted='nucleus', actual='nucleus'
102 > predicted='plasma membrane', actual='plasma membrane'
805 > predicted='cytoplasm', actual='cytoplasm'
239 > predicted='nucleus', actual='nucleus'
592 > predicted='nucleus', actual='nucleus'
784 > predicted='ER', actual='ER'
715 > predicted='vacuole', actual='vacuole'
171 > predicted='mitochondria', actual='mitochondria'
593 > predicted='mitochondria', actual='mitochondria'
258 > predicted='cytoskeleton', actual='cytoskeleton'
581 > predicted='nucleus', actual='nucleus'
124 > predicted='nucleus', actual='nucleus'
375 > predicted='cytoplasm', actual='cytoplasm'
486 > predicted='nucleus', actual='nucleus'
750 > predicted='cytoplasm', actual='cytoplasm'
459 > predicted='nucleus', actual='nucleus'
148 > predicted='ER', actual='ER'
2 > predicted='cytoskeleton', actual='cytoskeleton'
848 > predicted='cytoplasm', actual='cytoplasm'
184 > predicted='cytoskeleton', actual='cytoskeleton'
315 > predicted='ER', actual='ER'
47 > predicted='cytoplasm', actual='cytoplasm'
772 > predicted='ER', actual='ER'
646 > predicted='cytoplasm', actual='cytoplasm'
856 > predicted='cytoplasm', actual='cytoplasm'
246 > predicted='nucleus', actual='nucleus'
450 > predicted='nucleus', actual='nucleus'
757 > predicted='cytoskeleton', actual='cytoskeleton'
498 > predicted='nucleus', actual='nucleus'
306 > predicted='nucleus', actual='nucleus'
66 > predicted='cytoskeleton', actual='cytoskeleton'
342 > predicted='nucleus', actual='nucleus'
846 > predicted='cytoplasm', actual='cytoplasm'
154 > predicted='nucleus', actual='nucleus'
280 > predicted='cytoplasm', actual='cytoplasm'
527 > predicted='cytoskeleton', actual='cytoskeleton'
151 > predicted='cytoplasm', actual='cytoplasm'
738 > predicted='nucleus', actual='nucleus'
399 > predicted='nucleus', actual='nucleus'
71 > predicted='nucleus', actual='nucleus'
54 > predicted='nucleus', actual='nucleus'
543 > predicted='nucleus', actual='nucleus'
660 > predicted='nucleus', actual='nucleus'
647 > predicted='nucleus', actual='nucleus'
180 > predicted='nucleus', actual='nucleus'
756 > predicted='nucleus', actual='nucleus'
222 > predicted='nucleus', actual='nucleus'
424 > predicted='nucleus', actual='nucleus'
146 > predicted='nucleus', actual='nucleus'
258 > predicted='cytoskeleton', actual='cytoskeleton'
754 > predicted='ER', actual='ER'
420 > predicted='nucleus', actual='nucleus'
426 > predicted='cytoplasm', actual='cytoplasm'
459 > predicted='nucleus', actual='nucleus'
58 > predicted='nucleus', actual='nucleus'
258 > predicted='cytoskeleton', actual='cytoskeleton'
292 > predicted='ER', actual='ER'
181 > predicted='plasma membrane', actual='plasma membrane'
626 > predicted='cytoplasm', actual='cytoplasm'
700 > predicted='ER', actual='ER'
550 > predicted='nucleus', actual='nucleus'
204 > predicted='nucleus', actual='nucleus'
415 > predicted='cytoplasm', actual='cytoplasm'
323 > predicted='cytoplasm', actual='cytoplasm'
677 > predicted='nucleus', actual='nucleus'
309 > predicted='mitochondria', actual='mitochondria'
565 > predicted='nucleus', actual='nucleus'
154 > predicted='nucleus', actual='nucleus'
608 > predicted='cytoplasm', actual='cytoplasm'
180 > predicted='nucleus', actual='nucleus'
231 > predicted='cytoplasm', actual='cytoplasm'
797 > predicted='nucleus', actual='nucleus'
200 > predicted='nucleus', actual='nucleus'
697 > predicted='ER', actual='ER'
44 > predicted='plasma membrane', actual='plasma membrane'
565 > predicted='nucleus', actual='nucleus'
826 > predicted='nucleus', actual='nucleus'
189 > predicted='cytoplasm', actual='cytoplasm'
296 > predicted='nucleus', actual='nucleus'
764 > predicted='mitochondria', actual='mitochondria'
667 > predicted='cytoplasm', actual='endosome'
607 > predicted='nucleus', actual='nucleus'
607 > predicted='nucleus', actual='nucleus'
109 > predicted='ER', actual='ER'
569 > predicted='ER', actual='ER'
516 > predicted='nucleus', actual='nucleus'
5 > predicted='nucleus', actual='nucleus'
394 > predicted='cytoplasm', actual='cytoplasm'
777 > predicted='mitochondria', actual='mitochondria'
486 > predicted='nucleus', actual='nucleus'
127 > predicted='cytoplasm', actual='cytoplasm'
203 > predicted='golgi', actual='golgi'
211 > predicted='cytoplasm', actual='cytoplasm'
842 > predicted='nucleus', actual='nucleus'
131 > predicted='plasma membrane', actual='plasma membrane'
339 > predicted='nucleus', actual='nucleus'
276 > predicted='cytoskeleton', actual='cytoskeleton'
39 > predicted='nucleus', actual='nucleus'
764 > predicted='mitochondria', actual='mitochondria'
590 > predicted='cytoplasm', actual='cytoplasm'
54 > predicted='nucleus', actual='nucleus'
25 > predicted='nucleus', actual='nucleus'
265 > predicted='cytoplasm', actual='cytoplasm'
557 > predicted='nucleus', actual='nucleus'
544 > predicted='nucleus', actual='nucleus'
292 > predicted='ER', actual='ER'
129 > predicted='cytoplasm', actual='cytoplasm'
821 > predicted='cytoplasm', actual='cytoplasm'
236 > predicted='cytoskeleton', actual='cytoskeleton'
606 > predicted='cytoplasm', actual='cytoplasm'
481 > predicted='nucleus', actual='nucleus'
796 > predicted='mitochondria', actual='mitochondria'
